model_name,meeting_decision,screening_bucket,decision_reason,selected_in_final_deployment,task_type,source_doi,source_pmid,code_repository_url,benchmark_candidate,deployment_eligible,blocking_issues
DBAASPv3.0,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,not_reported_in_available_evidence,37523405,not_reported_in_available_evidence,True,,
de novo designed bifunctional AMP deep learning model,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.7554/elife.97330.3.sa2,,,True,,Only a public review document; no details of the model.; No code or data links.; Exact model name and architecture unknown.
De novo designed bifunctional antimicrobial peptide DL model,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.7554/eLife.97330,,not_reported_in_available_evidence,True,,"Full text not available; model details, code, and data unknown.; review_only"
Deep learning hybrid model (unnamed),reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1186/s40168-025-02326-0,41731616,not_reported_in_available_evidence,False,,model_name_unknown; no_details; review_only
Deep learning regression model for antimicrobial peptide design (Witten & Witten 2019),reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1101/692681,21347392,https://github.com/zswitten/Antimicrobial-Peptides,True,,Preprint status (no peer-reviewed publication yet); Full text not available to confirm details
DeepMAMP,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.1016/j.foodchem.2025.145174,40561758,not_reported_in_available_evidence,True,,"No code or dataset links provided in available evidence; GitHub link found is unrelated to this model.; Full-text excerpt appears to be from a different paper, so only abstract evidence is used."
dPABB,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification (anti-biofilm),10.3389/fmed.2022.1047752,36405598,not_reported_in_available_evidence,False,,not developed in this paper; original publication and code not provided
In silico AMP design from cuttlefish database (Houyvet et al.),reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction / antimicrobial peptide classification,10.1007/s00726-018-2633-4,30121851,not_reported_in_available_evidence,True,,"Relies on external tools (APD3, CAMPR3); homemade software not described; No code available; Full text unavailable; cannot verify methodology"
LLAMP,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,"AMP prediction (MIC prediction, species-aware)",10.1093/bib/bbaf343,40676915,https://github.com/GIST-CSBL/LLAMP,True,,
Multi-label WKnn-MLR,reject_or_hold,manual_review_required,insufficient_task_metadata,False,,,,,,,"No code, no web server, cannot be benchmarked"
"Multiple DL models reviewed (e.g., AMP-BERT, Deep-AmPEP30, etc.)",reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.3390/antibiotics11101451,36290108,not_reported_in_available_evidence,False,,Review-level evidence; No specific model details or code
Mutator,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide redesign/optimization,10.1016/j.bbamem.2019.01.017,30710514,not_reported_in_available_evidence,True,,no_web_link_found; full_text_verification_needed
panCleave,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1016/j.chom.2023.07.001,37516110,https://gitlab.com/machine-biology-group-public/pancleave,True,,
PepMCP,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.64898/2026.02.01.703163,,https://github.com/ComputBiophys/PepMCP,True,,preprint; no full text; no web server URL
SeqGAN-BERT-MLP AMP identifier (Cao et al. 2023),reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,AMP prediction,10.1093/bib/bbad058,36857616,not_reported_in_available_evidence,False,,No code or model name provided; Insufficient detail for reproducibility
The Antimicrobial Peptide Pipeline,reject_or_hold,manual_review_required,amp_relevance_present_but_binary_task_identity_unclear,False,antimicrobial peptide classification,10.2174/0115665232343790250120071445,,not_reported_in_available_evidence,True,,
2020-peptidomics,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/ErikHartman/2020-peptidomics,True,,
A-CaMP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification / anti-cancer peptide prediction,10.1080/07391102.2019.1708796,31870207,not_reported_in_available_evidence,True,,"no code, no dataset; task boundary unclear (also predicts anticancer peptides)"
AAGP,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/aagpazos/aagpazos.github.io,True,,github_search_candidate_requires_manual_verification
ACP-DL,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer peptide prediction,10.1038/s41598-021-02703-3,34880291,https://github.com/haichengyi/ACP-DL,False,,"targets anticancer peptides, not antimicrobial peptides"
ACP-ESM,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,anticancer_peptide_classification,10.1016/j.artmed.2024.102951,39173421,https://github.com/mstf-yalcin/acp-esm,False,,out_of_scope_for_AMP
acp-ope,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/khanhlee/acp-ope,True,,github_search_candidate_requires_manual_verification
aCPP-QSAR model,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,other,10.1080/07391102.2018.1484814,30047310,not_reported_in_available_evidence,False,,No code/web server; Specific to aCPPs and S. aureus; No dataset provided
ACPred,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer_peptide_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,original_paper_not_found; only_usage_reported
ADAM_web_server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/urban-adam/urban-adam-web,True,,
ADAM (webserver),reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,AMP structural classification database,10.1155/2015/475062,26000295,not_reported,True,,"not a predictive model, database resource"
ADMETlab 3,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,ADMET property prediction,10.1016/j.ultsonch.2026.107920,42276016,https://github.com/kucukkal/admetlab3.0,True,,not_AMP_specific
AFP-AE-CAE,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antifungal peptide classification (AMP subclass),10.1007/s12559-026-10622-6,42398074,not_reported_in_available_evidence,True,,"No code available in evidence; Specialized for antifungal peptides, not general AMP; may require separate evaluation"
AFP_DL,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/DongYin521/AFP_DL-QSARES,True,,github_search_candidate_requires_manual_verification
AFP_DL-QSARES,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/DongYin521/AFP_DL-QSARES,True,,
AFPtransferPred,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antifungal peptide classification,10.3390/ijms241210270,37373415,https://github.com/JinZhangLab/antifungal,True,,
AI4AFP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.1021/acsomega.6c00049,42146199,not_reported_in_available_evidence,True,,specific to antifungal peptides; removed from main AMP benchmark; no code repository
AI4AVP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.1109/JBHI.2021.3130825,37626205,https://github.com/LinTzuTang/AI4AVP_predictor,True,,github_search_candidate_requires_manual_verification
AI4AVP_predictor,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/LinTzuTang/AI4AVP_predictor,True,,github_search_candidate_requires_manual_verification
AIGCRS-AMP30,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / classification / generation,10.21203/rs.3.rs-10204513/v1,41206110,not_reported_in_available_evidence,True,,"Preprint, no code or data available; Full text not available"
AIPAMPDS,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction,10.1101/2025.03.24.644774,42218716,not_reported_in_available_evidence,True,,"no full text available; lack of details on model architecture, training data, and specific prediction models; no code repository found"
allenCCF,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/cortex-lab/allenCCF,True,,
AllerCatPro,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,allergenicity_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; out_of_scope
AllergenFP,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,allergenicity_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; out_of_scope
AllerTop,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,allergenicity_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; out_of_scope
Allopipe,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,minor histocompatibility antigen prediction,10.1111/tan.70590,41672724,https://github.com/huguesrichard/Allopipe,False,False,out_of_scope_for_AMP_benchmark; minor_histocompatibility_antigen_task
AlphaFold,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,protein_structure_prediction,10.1007/978-1-0716-0708-4_15,32621230,https://github.com/deepmind/alphafold.,False,,not_AMP_model; extracted_from_irrelevant_paper_MDockPeP
AMP,reject_or_hold,misretrieval_or_out_of_scope,ambiguous_model_identity_or_database_platform,False,antimicrobial peptide classification,10.1007/s12539-024-00640-z,38972032,https://github.com/researchprotein/amp,True,,
AMP-BERT GitHub repository,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/GIST-CSBL/AMP-BERT,True,,
amp_de_novo_design_cdGAN,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/aretiz/amp_de_novo_design_cdGAN,True,,
AMP-Designer,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation / optimization,10.1016/j.sbi.2023.102733,37992451,not_reported_in_available_evidence,True,,Code not reported in this evidence
AMP-Diffusion,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation and classification,10.1101/2025.01.31.636003,39975107,https://github.com/programmablebio/amp-diffusion,True,,code_not_available; no_dataset_link_or_name; no_performance_metrics_reported_in_abstract; review_only_abstract
AMP-GPT,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide generation,10.1038/s44386-026-00045-6,40193623,not_reported_in_available_evidence,True,,No code or trained model weights provided; Training data details missing
AMP-researchprotein,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/researchprotein/amp,True,,
AMP-RL,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation and optimization,10.1016/j.sbi.2023.102733,37992451,https://github.com/GIST-CSBL/AMP-RL.,True,,"not an AMP classifier; generative design model, not prediction"
AMP-RNNpro web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Shazzad-Shaon3404/Website_AMPRNNpro,True,,
AMP target specificity Siamese network,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,AMP activity regression,10.1145/3459930.3469506,,not_reported_in_available_evidence,True,,
AMP toxicity prediction code,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/h-khabbaz/amp-toxicity-predictor,True,,github_search_candidate_requires_manual_verification
AMP toxicity prediction model (hybrid),reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,antimicrobial peptide toxicity prediction,10.1186/s12859-021-04468-y,34758751,https://git.io/JRZaT,False,,Not an AMP prediction model; Focus on toxicity rather than antimicrobial activity classification
AMP0 webserver,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/danielm710/AMP-webserver,True,,
AMPA web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/miminiyo/ampaweb,True,,
AMPBenchmark,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/BioGenies/AMPBenchmark,True,,
AMPCLGPT,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.1101/2025.03.07.642021,,not_reported_in_available_evidence,True,,no code; no full text; preprint
AmPEP web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/Amal-Thomas/Amal-Thomas-PEP-GP-WebDevProject-Recipe,True,,github_search_candidate_requires_manual_verification
AmPepGen,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide generation,10.1007/s00284-025-04346-3,40643674,https://github.com/Anorpe/ampepgen-dev,True,,github_search_candidate_requires_manual_verification
AMPer web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/AmirhesamGhahari/Amir_Ghahari_Personal_Website_API_Server,True,,github_search_candidate_requires_manual_verification
AMPfun,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP/anticancer/antibacterial prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,True,,original_paper_not_found; no_dataset_or_code_reported
AMPGAN,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation / prediction,10.3390/antibiotics14121263,41463765,not_reported_in_available_evidence,True,,needs original paper verification
AMPGAN v2,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation / antimicrobial peptide design,10.1021/acs.jcim.0c01441,33787250,not_reported_in_available_evidence,True,,Code repository URL not provided in available evidence (only mention of GitLab repository).; No external test set evaluation reported.
AMPGAN v3,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,other,10.1016/j.jmgm.2026.109497,42364293,https://github.com/marszzibros/AMPGANv3,True,,
AMPGen,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide generation and design,10.1038/s42003-025-08282-7,40447738,not_reported_in_available_evidence,True,,code repository link not available; dataset details not reported in abstract; fulltext cache appears to contain unrelated content; actual full text needed
AMPGenix,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,other,10.1128/spectrum.01504-25,40891852,not_reported_in_available_evidence,False,,"task_type is generation, not prediction"
AMPGP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.1021/acs.jcim.5c00647,40825014,not_reported_in_available_evidence,True,,"No code or dataset availability reported; Only abstract available, no full text"
AmpGPT2,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,other,10.1038/s44259-026-00218-3,42174216,https://imigitlab.uni-muenster.de/heiderlab/ampgpt2,True,,Not a direct AMP activity classifier; requires external classifier for evaluation.
AmpGram R package,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/cran/AmpGram,True,,
AMPlify GitHub,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/keonjale/amplifygithubrepo,True,,
AmpLyze,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,toxicity prediction,10.1109/BIBM66473.2025.11357112,,not_reported_in_available_evidence,True,,
AMPs-Net,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide classification,10.3389/fmicb.2021.710199,35877911,not_reported_in_available_evidence,True,,only review evidence; no code or server found
AMPScanner vr.2 web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/dan-veltri/amp-scanner-v2,True,,
AMPScanner vr.2 web server (alternate),reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/dan-veltri/amp-scanner-v2,True,,
AMPSorter,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP binary prediction/classification,10.1038/s41564-025-02114-4,,https://github.com/W1V1995/AMP_Project,True,,
ampsphere,reject_or_hold,misretrieval_or_out_of_scope,ambiguous_model_identity_or_database_platform,False,AMP prediction / database,10.1007/s12602-024-10402-4,39557756,not_reported_in_available_evidence,True,,needs original paper verification
ampsphere_web_server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/BigDataBiology/AMPSphereWebsite,True,,
amyAMP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation/design,10.64898/2026.03.21.713424,41653519,not_reported_in_available_evidence,True,,no code available in provided evidence; no web server; no external test dataset described; generation task rather than classification may require different benchmark criteria
ANIA_github,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/aniagithub/Nieliniowe,True,,
Anti_Cp,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/raghavagps/anticp2,True,,
Anti_Cp.git,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/AntiO-cps/antio-cps.github.io,True,,github_search_candidate_requires_manual_verification
anti-flavi,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,antiviral_flavivirus_inhibitor_prediction,10.3389/fmicb.2018.03121,30619195,not_reported_in_available_evidence,False,,out_of_scope_antiviral_only
Anti-Hepatitis Peptides predictor (ref [9]),reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,specific anti-hepatitis peptide prediction,10.6026/97320630013415,29379261,not_reported_in_available_evidence,True,,"Specific to anti-hepatitis, not general AMP; No code, no original paper"
AntiBP3 GitLab,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/raghavagps/AntiBP3,True,,github_search_candidate_requires_manual_verification
AntiBP3 PyPI,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/raghavagps/AntiBP3,True,,github_search_candidate_requires_manual_verification
AntiBP3 Web Server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/raghavagps/AntiBP3,True,,github_search_candidate_requires_manual_verification
Anticancer-Peptides-CNN,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,anticancer peptide prediction,10.1038/s41598-021-02703-3,34880291,https://github.com/mrzResearchArena/Anticancer-Peptides-CNN,False,,task_mismatch
AntiCP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer_peptide_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,False,,webserver_only; superseded_by_AntiCP2.0
AntiCP 2.0,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer peptide prediction,10.3390/md24010032,41590729,not_reported_in_available_evidence,False,,review_only; original_paper_needed
AntiCP2.0,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,anticancer_peptide_prediction,10.3390/ijms262010077,41155367,not_reported_in_available_evidence,True,,webserver_only; no_source_code; no_model_weights_provided; batch_inference_unknown
Antifp,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antifungal peptide classification,10.1002/cpz1.113,37373415,not_reported_in_available_evidence,True,,not developed in this paper; original publication and code not provided
Antimicrobial,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/zswitten/Antimicrobial-Peptides,True,,
Antimicrobial Peptide Scanner vr.2 web server,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/dan-veltri/amp-scanner-v2,True,,
Antimicrobial-Peptides,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/zswitten/Antimicrobial-Peptides,True,,
APD3,reject_or_hold,misretrieval_or_out_of_scope,ambiguous_model_identity_or_database_platform,False,AMP prediction,10.3389/fmolb.2021.669431,33996914,not_reported_in_available_evidence,True,,review_only; original_paper_needed
ApexAmphion,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,antimicrobial peptide design/generation and prediction,10.1016/j.cell.2025.07.033,41040195,not_reported_in_available_evidence,True,,code and model weights not publicly available; generative model may not be directly comparable to discriminative AMP classifiers
ApexGO,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP prediction / antimicrobial peptide optimization,10.1038/s42256-026-01237-5,42206144,not_reported_in_available_evidence,True,,Code and model not publicly available; APEX predictor weights not available
ARCADIAMP,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,AMP generation and prediction,10.1038/s41467-026-75030-8,42414289,not_reported_in_available_evidence,True,,no code or data available from abstract
aro,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,,,,https://github.com/attdevsupport/ARO,True,,
ATP-Program,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,mononucleotide_binding_site_prediction,10.1016/j.compbiolchem.2022.107744,35933804,https://github.com/fendouba123/ATP-Program,False,,out_of_scope_not_amp
AVCpred,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,antiviral peptide prediction,10.3389/fmolb.2021.669431,33996914,not_reported_in_available_evidence,False,,out_of_scope_antiviral_only; review_only
AVP-IC50Pred,reject_or_hold,misretrieval_or_out_of_scope,non_binary_or_secondary_peptide_task,False,regression (antiviral peptide IC50 prediction),10.3390/molecules28010050,36615263,not_reported_in_available_evidence,False,,original_paper_missing; no_public_code_or_weights
AVP-predictor,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,antimicrobial peptide classification,10.1038/s41598-025-11328-9,40664756,not_reported_in_available_evidence,True,,Not AMP-specific
Bacterial Wars,reject_or_hold,misretrieval_or_out_of_scope,explicit_scope_or_task_exclusion,False,bacterial predominance prediction,10.1093/nargab/lqad049,37260512,not_reported_in_available_evidence,False,,out_of_scope; not_amp_classifier; no_training_code_or_weights
BACTIBASE,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,bacteriocin prediction,10.1093/bioinformatics/btx081,28203715,not_reported_in_available_evidence,True,,needs original paper verification
BAGEL3,reject_or_hold,misretrieval_or_out_of_scope,no_main_amp_binary_task_evidence,False,bacteriocin prediction,10.1093/bioinformatics/btx081,28203715,not_reported_in_available_evidence,True,,needs original paper verification
