deployment_rank,model_name,canonical_name,benchmark_role,benchmark_role_label,benchmark_roles,deployment_tier,deployment_status,deployment_selection_score,deployment_reason,task_type,method_family,representation_category,architecture_category,publication_year,source_journal,journal_impact_factor,journal_impact_factor_status,citation_count,citation_count_status,citation_evidence_source,article_impact_score,source_doi,source_pmid,code_repository_url,web_server_url,dataset_source_or_link,evidence_level,confidence,blocking_issues,first_next_action
11,iAMP-SeE,iAMP-SeE,evidence_ranked_fill,证据排序补位,evidence_ranked_fill,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,19.3537,有 GitHub 和 Zenodo 数据线索，适合作为强基准模型和主测试集配套模型。,antimicrobial peptide classification,DL,protein_language_model_representation,rnn_lstm_dominant_models,2026,PeerJ,0,missing_curated_jif_mapping,15,available,"crossref, europe_pmc, pubmed, semantic_scholar",1.2041,10.7717/peerj.20978,41913931,https://github.com/cqw0715/iAMP-SeE.git,not_reported_in_available_evidence,"Dataset 1: DRAMP, dbAMP, CAMPr-4, AMPfun, ADAPTABLE (positive), UniProt (negative); Dataset 2: from deep-AMPpred (Zhao et al. 2024); Zenodo data: https://doi.org/10.5281/zenodo.17398951",fulltext,0.95,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
12,iAMP-bert,iAMP-bert,evidence_ranked_fill,证据排序补位,evidence_ranked_fill,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,19.1791,证据池命中、任务属于 AMP prediction/classification 且有代码线索，适合作为部署候选。,AMP prediction,DL,protein_language_model_representation,transformer_llm_dominant_models,2024,Journal of chemical information and modeling,5.3,verified_from_curated_mapping,0,not_available_in_local_snapshot,,1.199,10.1021/acs.jcim.4c00507,39316765,https://github.com/scikit-fingerprints/peptides_molecular_fingerprints_classification,http://iamp.aielab.cc/,多个公开AMP数据库及自建基准数据集 (Zenodo: https://doi.org/10.5281/zenodo.19388783),fulltext,0.9,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
13,HMD-AMP,HMD-AMP,verified_required_core,已核验核心候选,verified_required_core,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,19.0419,证据池命中、任务属于 AMP prediction/classification 且有代码线索，适合作为部署候选。,AMP binary prediction plus multi-label target annotation,protein language model based hierarchical AMP classifier,protein_language_model_representation,gnn_models,2026,Nature Biomedical Engineering,0,missing_curated_jif_mapping,3,available,"crossref, https://www.nature.com/articles/s41551-026-01630-w, required_model_primary_source_verification",0.6021,10.1038/s41551-026-01630-w,,https://github.com/ml4bio/HMD-AMP,,https://doi.org/10.5281/zenodo.15622525,primary_publisher_crossref_openalex_github_verified,1,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
14,ACEP,ACEP,evidence_ranked_fill,证据排序补位,evidence_ranked_fill,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,18.9207,CNN/特征混合路线代表，有代码线索，适合作为早期深度学习 AMP 识别对照。,AMP binary prediction/classification,attention + convolutional neural network + amino-acid embedding feature fusion,multimodal_hybrid_representation,cnn_dominant_models,2020,BMC Genomics,7.3,verified_from_curated_mapping,0,not_available_in_local_snapshot,,1.3786,10.1186/s12864-020-06978-0,32859150,https://github.com/Fuhaoyi/ACEP,not_reported_in_available_evidence,APD database (mentioned in fulltext),fulltext,0.9,pre-trained weights not confirmed,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
15,PyAMPA,PyAMPA,evidence_ranked_fill,证据排序补位,evidence_ranked_fill,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,18.6409,Python 工具化 AMP predictor，有 GitHub，适合工程 baseline 和批量化封装。,AMP prediction / antimicrobial peptide classification,ML/feature-engineering/web-server,traditional_physicochemical_statistical_features,machine_learning_models,2024,mSystems,0,missing_curated_jif_mapping,18,available,"crossref, europe_pmc, openalex, pubmed",1.2788,10.1128/msystems.01358-23,38934543,https://github.com/SysBioUAB/PyAMPA,not_reported_in_available_evidence,"AMPlify dataset, Liu et al. CPP database, AMPDeep hemolytic database, ToxinPred toxicity database, GRAMPA database (https://github.com/zswitten/Antimicrobial-Peptides)",fulltext,0.95,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
16,SGAC,SGAC,,,,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,18.4907,结构/图或注意力路线，有 GitHub，可作为 GNN/结构扩展部署候选。,antimicrobial peptide classification,DL,structure_graph_representation,gnn_models,2026,Briefings in bioinformatics,7.3,verified_from_curated_mapping,0,not_available_in_local_snapshot,,1.3786,10.1093/bib/bbag038,41662353,https://github.com/wyxwyx46941930/SGAC,not_reported_in_available_evidence,not_reported_in_available_evidence (paper states 'publicly available AMP and non-AMP datasets'),fulltext,0.95,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
17,panCleave,panCleave,,,,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,18.348,证据池命中、任务属于 AMP prediction/classification 且有代码线索，适合作为部署候选。,AMP prediction,ML,sequence_encoding_representation,machine_learning_models,2023,Cell Host and Microbe,0,missing_curated_jif_mapping,145,available,"openalex, pubmed, semantic_scholar",2.1644,10.1016/j.chom.2023.07.001,37516110,https://gitlab.com/machine-biology-group-public/pancleave,not_reported_in_available_evidence,Training and test data (MEROPS substrates) available in the panCleave repository (https://gitlab.com/machine-biology-group-public/pancleave),fulltext,0.9,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
18,Co-AMPpred,Co-AMPpred,classic_baseline,,classic_baseline | traditional_ml,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,18.28,传统特征/ML 路线代表；有 GitHub 和 DEEP-AmPEP30 衍生数据线索。,AMP prediction,ML,traditional_physicochemical_statistical_features,machine_learning_models,2021,,0,missing_curated_jif_mapping,0,not_available_in_local_snapshot,,0,10.1186/s12859-021-04305-2,34330209,https://github.com/onkarS23/CoAMPpred,not_reported_in_available_evidence,https://github.com/onkarS23/CoAMPpred (contains training and test data from DEEP-AmPEP30),fulltext,0.9,pre-trained weights not confirmed; may require training from scratch,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
19,CELA-MFP,CELA-MFP,,,,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,18.15,证据池命中、任务属于 AMP prediction/classification 且有代码线索，适合作为部署候选。,AMP prediction / multi-functional peptide prediction,DL,sequence_encoding_representation,transformer_llm_dominant_models,2024,,0,missing_curated_jif_mapping,0,not_available_in_local_snapshot,,0,10.1093/bib/bbae348,39038935,https://github.com/WeiLab-Biology/CELA-MFP,http://dreamai.cmii.online/CELA-MFP,MFBP and MFTP datasets (available at https://github.com/WeiLab-Biology/CELA-MFP),fulltext,0.95,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
20,DDM,DDM,,,,extended_deployment_pool_11_20,extended_pool_deploy_after_weight_and_data_check,17.85,有 GitHub 和数据线索的 AMP 分类模型，适合作为扩展部署池候选。,AMP classification,DL,protein_language_model_representation,transformer_llm_dominant_models,2026,,0,missing_curated_jif_mapping,0,not_available_in_local_snapshot,,0,10.1093/bioinformatics/btag077,41692989,https://github.com/kww567upup/DDM,not_reported_in_available_evidence,https://github.com/kww567upup/DDM (data provided in repository),fulltext,0.95,,检查仓库是否有可批量推理脚本；确认预训练权重或训练复现脚本；下载并标准化对应数据集；封装为统一 predict_proba(input_fasta) 接口
